Rocket,Launch,Mach Number,Pitch (deg),Roll (deg),drag_x (N),drag_y (N),drag_z (N),Total Drag (N),C_D_x,C_D_y,C_D_z,Total C_D
athena,westmar,0.2,3,0,24.91402,0.14981604,24.603972,35.016,0.025,0.0,0.025,0.035
athena,westmar,0.4,15,0,99.309252,43.565778,511.5673,522.935,0.1,0.044,0.513,0.525
athena,westmar,0.15,15,0,15.154362,6.6927682,72.050067,73.93,0.015,0.007,0.072,0.074
athena,westmar,0.5,3,0,149.27195,0.98230619,156.32453,216.149,0.15,0.001,0.157,0.217
athena,westmar,0.6,7,0,221.96556,7.9462074,529.86863,574.537,0.222,0.008,0.531,0.576
athena,westmar,0.25,2,0,37.958451,0.15600776,26.070408,46.049,0.038,0.0,0.026,0.046
athena,westmar,0.1,7,0,11.93852,-35.475067,18.786838,41.88,0.012,-0.036,0.019,0.042
athena,westmar,0.55,2,0,177.21498,0.79697008,128.61513,218.969,0.177,0.001,0.129,0.219
athena,westmar,0.3,15,0,56.85011,25.50412,287.07926,293.763,0.057,0.026,0.288,0.295
athena,westmar,0.65,15,0,256.24741,115.967,1390.208,1418.376,0.256,0.116,1.392,1.42
athena,westmar,0.15,7,0,15.308351,0.33852336,31.38125,34.918,0.015,0.0,0.032,0.035
athena,westmar,0.5,2,0,147.08457,0.74437511,105.796,181.183,0.147,0.001,0.106,0.181
athena,westmar,0.65,7,0,259.67691,9.0055616,627.61455,679.274,0.26,0.009,0.628,0.68
athena,westmar,0.2,2,0,24.518647,0.10835115,16.64854,29.637,0.025,0.0,0.017,0.03
athena,westmar,0.25,15,0,39.938469,18.186326,199.53939,204.308,0.04,0.018,0.2,0.205
athena,westmar,0.7,15,0,297.36738,137.05088,1631.0741,1663.614,0.298,0.137,1.632,1.665
athena,westmar,0.55,3,0,179.8204,1.075879,190.07918,261.661,0.18,0.001,0.19,0.262
athena,westmar,0.25,3,0,38.561965,0.22277605,38.497126,54.489,0.039,0.0,0.039,0.055
athena,westmar,0.4,3,0,96.581585,0.61121995,99.333211,138.548,0.097,0.001,0.1,0.139
athena,westmar,0.3,3,0,55.068802,0.33647792,55.563205,78.23,0.055,0.0,0.056,0.078
athena,westmar,0.45,2,0,119.71887,0.61340501,85.409945,147.064,0.12,0.001,0.086,0.148
athena,westmar,0.35,2,0,73.280353,0.30269779,51.348283,89.48,0.073,0.0,0.051,0.089
athena,westmar,0.7,7,0,300.65967,10.485683,736.00402,795.115,0.301,0.01,0.737,0.796
